epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.868,1.68383,3.09357,1.55991,0.77356,0.08457,0.20407,0.09405,1.89035,3.61946,1.65988,0.000543844,0.000543844,0.000543844
2,224.454,1.62255,2.4759,1.52362,0.34597,0.15842,0.15939,0.07886,1.97105,3.38118,1.98089,0.00108863,0.00108863,0.00108863
3,349.609,1.69588,2.3806,1.5926,0.23428,0.28713,0.17219,0.07668,2.07102,3.50386,1.93451,0.0016224,0.0016224,0.0016224
4,470.327,1.84989,2.38054,1.68059,0.35202,0.36139,0.27534,0.12281,2.07314,3.38264,1.9317,0.00161749,0.00161749,0.00161749
5,584.892,1.70979,2.20905,1.58418,0.42303,0.38475,0.31392,0.13322,1.97166,2.70726,1.83735,0.00160099,0.00160099,0.00160099
6,703.625,1.69067,2.06707,1.57545,0.63483,0.31188,0.36418,0.1707,1.96195,2.57765,1.72397,0.00158448,0.00158448,0.00158448
7,820.946,1.64557,1.94643,1.57296,0.17487,0.16832,0.08212,0.03487,2.06771,5.3274,1.99324,0.00156798,0.00156798,0.00156798
8,939.61,1.63747,1.96567,1.55379,0.47083,0.40594,0.39991,0.19125,1.97336,2.1718,1.75494,0.00155148,0.00155148,0.00155148
9,1057.34,1.56192,1.82256,1.49336,0.43563,0.43069,0.37543,0.17671,1.85662,2.14347,1.69007,0.00153497,0.00153497,0.00153497
10,1159.85,1.60567,1.76185,1.54419,0.64748,0.5183,0.52923,0.24045,1.83346,1.8261,1.6027,0.00151847,0.00151847,0.00151847
11,1263.61,1.57971,1.7183,1.47178,0.70663,0.48515,0.56499,0.24424,1.86103,1.75986,1.59131,0.00150197,0.00150197,0.00150197
12,1368.79,1.55152,1.65383,1.47383,0.68692,0.5099,0.57502,0.27042,1.79907,1.70505,1.57623,0.00148546,0.00148546,0.00148546
13,1470.19,1.59188,1.65276,1.52653,0.65219,0.5,0.56579,0.27142,1.80225,1.83159,1.62414,0.00146896,0.00146896,0.00146896
14,1577.08,1.52863,1.58982,1.45365,0.63065,0.56931,0.58309,0.28759,1.75595,1.69027,1.56116,0.00145246,0.00145246,0.00145246
15,1682.59,1.49947,1.54891,1.47326,0.67244,0.55446,0.5967,0.3012,1.71904,1.62828,1.51861,0.00143595,0.00143595,0.00143595
16,1796.06,1.51637,1.50509,1.43561,0.57562,0.53718,0.55141,0.27034,1.79411,1.65201,1.53426,0.00141945,0.00141945,0.00141945
17,1901.49,1.53218,1.48018,1.44429,0.59799,0.54455,0.57882,0.30419,1.75595,1.6156,1.53951,0.00140295,0.00140295,0.00140295
18,2015.54,1.43545,1.47087,1.42511,0.67191,0.5099,0.55863,0.27145,1.7632,1.83562,1.59775,0.00138644,0.00138644,0.00138644
19,2125.92,1.47303,1.44693,1.4065,0.61618,0.54838,0.58142,0.29356,1.73686,1.55082,1.51101,0.00136994,0.00136994,0.00136994
20,2225.92,1.47889,1.45871,1.40362,0.6944,0.59406,0.63911,0.32827,1.7262,1.51667,1.51374,0.00135344,0.00135344,0.00135344
21,2325.89,1.4232,1.41463,1.39245,0.6303,0.57921,0.61469,0.31568,1.71184,1.58377,1.49838,0.00133693,0.00133693,0.00133693
22,2420.05,1.40916,1.41582,1.37065,0.65784,0.47589,0.5341,0.26828,1.66569,1.89116,1.52205,0.00132043,0.00132043,0.00132043
23,2511.81,1.42828,1.37077,1.39459,0.66844,0.4802,0.51932,0.26154,1.76509,1.94871,1.63904,0.00130393,0.00130393,0.00130393
24,2610.58,1.36468,1.3059,1.36655,0.63592,0.5707,0.61537,0.33587,1.6633,1.54906,1.51898,0.00128742,0.00128742,0.00128742
25,2707.33,1.39849,1.30154,1.36919,0.70447,0.62376,0.64157,0.3194,1.71135,1.44482,1.51745,0.00127092,0.00127092,0.00127092
26,2805.79,1.41801,1.3024,1.39806,0.64643,0.62871,0.64181,0.3343,1.62249,1.39736,1.46928,0.00125442,0.00125442,0.00125442
27,2903.05,1.35554,1.27043,1.35789,0.71569,0.55446,0.66415,0.34925,1.63638,1.36545,1.46569,0.00123791,0.00123791,0.00123791
28,3001.05,1.39517,1.29412,1.35946,0.72267,0.62871,0.68558,0.34677,1.70093,1.34754,1.48558,0.00122141,0.00122141,0.00122141
29,3099.67,1.36432,1.26049,1.3458,0.69012,0.59406,0.62668,0.32114,1.72117,1.51994,1.51314,0.00120491,0.00120491,0.00120491
30,3199.6,1.39275,1.27577,1.36118,0.63683,0.46877,0.52041,0.26269,1.80407,1.93572,1.60361,0.0011884,0.0011884,0.0011884
31,3296.07,1.36976,1.28971,1.37142,0.68333,0.52346,0.59391,0.30891,1.66613,1.58151,1.4998,0.0011719,0.0011719,0.0011719
32,3391.29,1.35158,1.2919,1.35318,0.76954,0.5396,0.61486,0.30997,1.7036,1.54808,1.52912,0.0011554,0.0011554,0.0011554
33,3490.53,1.32425,1.18267,1.32243,0.75845,0.57426,0.65959,0.32053,1.70376,1.42682,1.48959,0.00113889,0.00113889,0.00113889
34,3590.41,1.35861,1.22135,1.35462,0.61413,0.61881,0.62269,0.32702,1.68345,1.49106,1.51993,0.00112239,0.00112239,0.00112239
35,3690.67,1.29075,1.1977,1.33763,0.76652,0.55446,0.65641,0.3487,1.64099,1.33874,1.50413,0.00110589,0.00110589,0.00110589
36,3789.55,1.41206,1.27607,1.39463,0.71132,0.62871,0.65174,0.32539,1.7026,1.4592,1.52997,0.00108938,0.00108938,0.00108938
37,3889.3,1.34166,1.23035,1.35564,0.809,0.55446,0.6837,0.37358,1.67254,1.24818,1.52687,0.00107288,0.00107288,0.00107288
38,3989.27,1.3828,1.19751,1.36283,0.7476,0.6012,0.65979,0.34112,1.65471,1.33428,1.44893,0.00105638,0.00105638,0.00105638
39,4171.3,1.29078,1.18601,1.32298,0.68318,0.49505,0.52439,0.28708,1.7358,1.75172,1.56097,0.00103987,0.00103987,0.00103987
40,4266.51,1.37351,1.21228,1.35511,0.62242,0.53465,0.57305,0.30395,1.72327,1.60908,1.57405,0.00102337,0.00102337,0.00102337
41,4360.71,1.34163,1.17433,1.34893,0.6587,0.64971,0.68391,0.35395,1.65446,1.29596,1.47321,0.00100687,0.00100687,0.00100687
42,4455.07,1.34286,1.15226,1.31119,0.71411,0.63861,0.71212,0.36103,1.64799,1.26993,1.45873,0.000990365,0.000990365,0.000990365
43,4554.45,1.32281,1.11894,1.30586,0.7482,0.67822,0.73025,0.36727,1.65952,1.22825,1.47548,0.000973861,0.000973861,0.000973861
44,4647.58,1.26021,1.07069,1.29741,0.74267,0.65722,0.70887,0.3622,1.6357,1.20948,1.45763,0.000957358,0.000957358,0.000957358
45,4744.17,1.30732,1.14343,1.31843,0.72231,0.69536,0.72211,0.36526,1.62457,1.20347,1.42945,0.000940855,0.000940855,0.000940855
46,4843.67,1.24405,1.07529,1.27756,0.71527,0.67155,0.71068,0.37385,1.63883,1.2417,1.44216,0.000924352,0.000924352,0.000924352
47,4942.48,1.28589,1.06706,1.31011,0.78265,0.64175,0.72121,0.36941,1.66543,1.27623,1.44686,0.000907848,0.000907848,0.000907848
48,5051.82,1.27367,1.06063,1.27711,0.79197,0.63861,0.74024,0.37628,1.69832,1.18874,1.50133,0.000891345,0.000891345,0.000891345
49,5154.46,1.26396,1.04269,1.26804,0.74374,0.66832,0.71868,0.37231,1.6839,1.25565,1.46548,0.000874842,0.000874842,0.000874842
50,5258.38,1.23255,1.06711,1.2606,0.69326,0.67327,0.73522,0.39376,1.62596,1.19477,1.43875,0.000858338,0.000858338,0.000858338
51,5362.93,1.22532,1.00924,1.26648,0.72866,0.67799,0.7449,0.38357,1.64397,1.15723,1.46116,0.000841835,0.000841835,0.000841835
52,5476.12,1.26392,1.03789,1.28534,0.83971,0.60891,0.71625,0.37446,1.63056,1.21443,1.46599,0.000825332,0.000825332,0.000825332
53,5585.61,1.24595,1.06262,1.27214,0.7388,0.64413,0.69237,0.37954,1.618,1.21563,1.44335,0.000808828,0.000808828,0.000808828
54,5699.64,1.25744,1.0033,1.28549,0.76542,0.72277,0.75349,0.37489,1.66449,1.13954,1.46922,0.000792325,0.000792325,0.000792325
55,5812.37,1.21179,0.99591,1.25429,0.78501,0.65347,0.73034,0.38223,1.60887,1.18351,1.44054,0.000775822,0.000775822,0.000775822
56,5924.5,1.22794,0.98892,1.25724,0.77979,0.66832,0.73303,0.39371,1.62049,1.15273,1.43086,0.000759318,0.000759318,0.000759318
57,6497.53,1.18453,0.9299,1.22108,0.75461,0.66983,0.71699,0.37813,1.66821,1.20489,1.45007,0.000742815,0.000742815,0.000742815
58,7061.71,1.20843,0.9359,1.23078,0.75677,0.65347,0.71136,0.37591,1.67151,1.18725,1.46483,0.000726312,0.000726312,0.000726312
